id_article,Author,Title,Journal,Source,Id,Cat
103,"A.Buchel, R.C.Myers and A.van Niekerk",Universality of Abrupt Holographic Quenches,Phys.Rev.Lett. <b>111</b> (2013) 201602,1307,4740,y
104,A.Buchel and D.A.Galante,Cascading gauge theory on dS_4 and String Theory Landscape,Nucl.Phys. B<b>883</b> (2014) 107,1310,1372,y
105,V.Balasubramanian and A.Buchel,On consistent truncations in N=2* holography,JHEP <b>1402</b> (2014) 030,1311,5044,y
106,"V.Balasubramanian, A.Buchel, S.R. Green, L.Lehner, and S.L.Liebling","Holographic Thermalization, Stability of AdS, and the FPU Paradox",Phys.Rev.Lett. <b>113</b> (2014) 071601,1403,6471,y
107,Alex Buchel,Effective Action of the Baryonic Branch in String Theory Flux Throats,JHEP <b>1409</b> (2014) 117,1405,1518,y
108,"A.Buchel, S.R.Green, L.Lehner and S.L.Liebling",Universality of non-equilibrium dynamics of CFTs from holography,,1410,5381,y
109,"A.Buchel, R.C.Myers and  A.van Niekerk",Nonlocal probes of thermalization in holographic quenches with spectral methods,JHEP <b>1502</b> (2015) 017,1410,6201,y
110,"A.Buchel, S.R.Green, L.Lehner and  S.L.Liebling",Conserved quantities and dual turbulent cascades in Anti-de Sitter spacetime,"Phys.Rev. D<b>91</b> (2015) 6, 064026",1412,4761,y
111,Alex Buchel,Black hole spectra in holography: consequences for equilibration of dual gauge theories,Nucl.Phys. B<b>896</b> (2015) 587,1501,04593,y
112,A.Buchel and L.Lehner,Small black holes in AdS5xS5,"Class.Quant.Grav. <b>32</b> (2015) 14, 145003",1502,01574,y
113,"A.Buchel, M.P.Heller and R.C.Myers",Equilibration rates in a strongly coupled nonconformal quark-gluon plasma,"Phys.Rev.Lett. <b>114</b> (2015) 25, 251601",1503,07114,y
114,A.Buchel and A.Day,Universal relaxation in quark-gluon plasma at strong coupling,Phys.Rev. D<b>92</b> (2015) 026009,1505,05012,y
115,"A.Buchel, S.R.Green, L.Lehner and S.L.Liebling","Reply to \Comment on two-mode stability islands around AdS\"" ""","Phys.Rev.Lett. <b>115</b> (2015) 4, 049102",1506,07907,y
116,A.Buchel and M.Buchel,On stability of nonthermal states in strongly coupled gauge theories,,1509,00774,y
117,Alex Buchel,Universality of small black hole instability in AdS/CFT,Int.J.Mod.Phys.D,1509,07780,y
118,Alex Buchel,AdS boson stars in string theory,,1510,08415,y
119,"A.Buchel, M.Heller and J.Noronha","Beyond adiabatic approximation in Big Bang Cosmology: hydrodynamics, resurgence and entropy production in the Universe","Phys.Rev. D<b>94</b> (2016) 10, 106011",1603,05344,y
120,A.Buchel and A.Karapetyan,de Sitter Vacua of Strongly Interacting QFT,JHEP <b>1703</b> (2017) 114,1702,01320,y
121,Alex Buchel,Verlinde Gravity and AdS/CFT,,1702,08590,y
122,"P.Bosch, A.Buchel and L.Lehner",Unstable horizons and singularity development in holography,JHEP <b>1707</b> (2017) 135,1704,05454,y
123,Alex Buchel,Singularity development and supersymmetry in holography,JHEP <b>1708</b> (2017) 134,1705,08560,y
124,Alex Buchel,Ringing in de Sitter spacetime,Nucl.Phys. B<b>928</b> (2018) 307,1707,01030,y
125,Alex Buchel,Non-conformal holographic Gauss-Bonnet hydrodynamics,JHEP<b>1803</b> (2018) 037,1801,06165,y
126,M.Baggioli and A.Buchel,Holographic Viscoelastic Hydrodynamics,JHEP<b>1903</b> (2019) 146,1805,06756,y
127,Alex Buchel,Sensitivity of holographic N=4 SYM plasma hydrodynamics to finite coupling corrections,Phys.Rev.D<b>98</b> (2018) 061901,1807,05457,y
128,Alex Buchel,Klebanov-Strassler black hole,JHEP<b>1901</b> (2019) 207,1809,08484,y
129,Alex Buchel,N=2^* de Sitter vacuum from localization?,Nucl.Phys.B<b>948</b> (2019) 114769,1904,09968,y
130,"I.Bena, A.Buchel and S.Lust",Throat destabilization (for profit and for fun),,1910,08094,y
131,Alex Buchel,chiSB of cascading gauge theory in de Sitter,JHEP<b>05</b> (2020) 035,1912,03566,y
132,A.Buchel and B.Umbert,QGP universality in magnetic field?,JHEP<b>06</b> (2020) 149,2004,01583,y
133,Alex Buchel,On branches of the KS black hole,Nucl.Phys.B<b>957</b> (2020) 115094,2005,00854,y
134,Alex Buchel,Thermal order in holographic CFTs and no-hair theorem violation in black branes,,2005,07833,y
135,Alex Buchel,SUGRA/Strings like to be bald,,2007,09420,y
136,Alex Buchel,The fate of the conformal order,,2011,11509,y
137,Alex Buchel,A bestiary of black holes on the conifold with fluxes,,2103,15188,y
